Material,material_condition,product_form,Temperature_C,E_MPa,E_MPa_units,S_u_MPa,S_u_MPa_units,S_y_MPa,S_y_MPa_units,mean_CTE_per_C,mean_CTE_per_C_units,CTE_reference_temperature_C,CTE_definition,nu,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,property_source,property_basis,interpolation_allowed,property_notes
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,300,185000,MPa,,,,,0.0000138,1/C,25,Mean CTE over 25 C to listed temperature,,,15.9,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,400,179000,MPa,,,,,0.0000141,1/C,25,Mean CTE over 25 C to listed temperature,,,17.5,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,427,,,1193,MPa,1027,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,500,173000,MPa,,,,,0.0000143,1/C,25,Mean CTE over 25 C to listed temperature,,,19.0,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,538,,,1173,MPa,1006,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,600,167000,MPa,,,,,0.0000148,1/C,25,Mean CTE over 25 C to listed temperature,,,20.6,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,649,,,1120,MPa,965,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,700,159000,MPa,,,,,0.0000155,1/C,25,Mean CTE over 25 C to listed temperature,,,22.2,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,760,,,809,MPa,723,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,800,149000,MPa,,,,,0.0000163,1/C,25,Mean CTE over 25 C to listed temperature,,,23.8,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,871,,,291,MPa,236,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,900,134000,MPa,,,,,0.0000172,1/C,25,Mean CTE over 25 C to listed temperature,,,,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,982,,,97,MPa,66,MPa,,,,,,,,,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,1000,117000,MPa,,,,,,,,,,27.1,,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Ti-6Al-4V,TIMETAL 6-4 / ASTM Grade 5 sheet/plate annealed per ASTM B265,sheet/plate,21,114000,MPa,895,MPa,828,MPa,,,,,0.342,7.1,560,4430,TIMET/MatWeb and Metalcor,Minimum-style specification data,No,Room-temperature strength for stated annealed sheet/plate condition; no elevated strength points added.
Ti-6Al-4V,"Ti-6Al-4V, MaterialHub resonant test dataset",test specimen,24,115000,MPa,,,,,,,,,,,,,MaterialHub SLUB Dresden,Measured dataset,Yes,E(T) measured by ASTM E1875; condition is not silently merged with TIMETAL sheet/plate strength row.
Ti-6Al-4V,"Ti-6Al-4V, MaterialHub resonant test dataset",test specimen,100,111000,MPa,,,,,0.0000086,1/C,,Coefficient of linear thermal expansion at listed temperature,,,,,MaterialHub SLUB Dresden,Measured dataset,Yes,E(T) and CTE(T) source dataset.
Ti-6Al-4V,"Ti-6Al-4V, MaterialHub resonant test dataset",test specimen,200,105000,MPa,,,,,0.0000090,1/C,,Coefficient of linear thermal expansion at listed temperature,,,,,MaterialHub SLUB Dresden,Measured dataset,Yes,E(T) and CTE(T) source dataset.
Ti-6Al-4V,"Ti-6Al-4V, MaterialHub resonant test dataset",test specimen,300,100000,MPa,,,,,0.00000917,1/C,,Coefficient of linear thermal expansion at listed temperature,,,,,MaterialHub SLUB Dresden,Measured dataset,Yes,E(T) and CTE(T) source dataset.
Ti-6Al-4V,"Ti-6Al-4V, MaterialHub resonant test dataset",test specimen,400,94000,MPa,,,,,0.00000935,1/C,,Coefficient of linear thermal expansion at listed temperature,,,,,MaterialHub SLUB Dresden,Measured dataset,Yes,E(T) and CTE(T) source dataset.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,21,208000,MPa,894,MPa,417,MPa,,,,,,9.8,410,8440,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate; physical values from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,100,201000,MPa,,,,,0.0000128,1/C,25,Mean CTE over 25 C to listed temperature,,10.9,428,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,200,199000,MPa,,,,,0.0000131,1/C,25,Mean CTE over 25 C to listed temperature,,12.5,455,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,300,192000,MPa,,,,,0.0000134,1/C,25,Mean CTE over 25 C to listed temperature,,13.9,477,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,400,186000,MPa,,,,,0.0000138,1/C,25,Mean CTE over 25 C to listed temperature,,15.3,503,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,427,,,800,MPa,320,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,500,179000,MPa,,,,,0.0000142,1/C,25,Mean CTE over 25 C to listed temperature,,16.9,527,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,538,,,774,MPa,309,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,600,171000,MPa,,,,,0.0000148,1/C,25,Mean CTE over 25 C to listed temperature,,18.3,552,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,649,,,777,MPa,301,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,700,163000,MPa,,,,,0.0000154,1/C,25,Mean CTE over 25 C to listed temperature,,19.8,576,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,760,,,490,MPa,301,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,800,153000,MPa,,,,,0.0000160,1/C,25,Mean CTE over 25 C to listed temperature,,21.5,600,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,871,,,262,MPa,211,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,900,142000,MPa,,,,,0.0000167,1/C,25,Mean CTE over 25 C to listed temperature,,23.4,625,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,982,,,119,MPa,81,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,1000,126000,MPa,,,,,0.0000174,1/C,25,Mean CTE over 25 C to listed temperature,,25.6,648,,Haynes 625,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Nickel 625,"HAYNES 625 hot-rolled plate, 1925F mill-annealed",plate,1093,,,64,MPa,37,MPa,,,,,,,,,Haynes 625,Representative manufacturer data,Yes,Tensile data for hot-rolled mill-annealed plate.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,20,,,568,MPa,292,MPa,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; differs from ASTM minimum room-temperature row in materials.csv.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,93,,,521,MPa,,,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; yield not reported at this temperature in source table.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,204,,,492,MPa,,,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; yield not reported at this temperature in source table.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,316,,,491,MPa,,,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; yield not reported at this temperature in source table.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,427,,,493,MPa,183,MPa,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,538,,,472,MPa,161,MPa,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,649,,,349,MPa,156,MPa,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,760,,,212,MPa,,,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; yield not reported at this temperature in source table.
316 Stainless Steel,"ATI 316 / UNS S31600, annealed elevated-properties dataset",flat rolled,871,,,124,MPa,,,,,,,,,,,ATI 316 technical data sheet,Representative typical elevated data,Yes,Representative elevated tensile series; yield not reported at this temperature in source table.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,26.85,194180,MPa,,,,,0.000015156,1/C,,Coefficient listed at indicated temperature,0.27,13.4,468,8238,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,126.85,188490,MPa,,,,,0.000016051,1/C,,Coefficient listed at indicated temperature,,15.2,504,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,226.85,182020,MPa,,,,,0.000016933,1/C,,Coefficient listed at indicated temperature,,16.75,527,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,326.85,174290,MPa,,,,,0.000017511,1/C,,Coefficient listed at indicated temperature,,18.3,550,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,426.85,166170,MPa,,,,,0.000017946,1/C,,Coefficient listed at indicated temperature,,19.8,563,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,526.85,157960,MPa,,,,,0.000018297,1/C,,Coefficient listed at indicated temperature,,21.3,576,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
316 Stainless Steel,"Generic 316 SS, PPPL thermal and structural property table",unspecified,626.85,148630,MPa,,,,,0.000018592,1/C,,Coefficient listed at indicated temperature,,22.75,589,,PPPL 316 SS property table,Handbook-style engineering table,Yes,Thermal and structural properties converted from K to C temperatures.
Alloy Steel 4340,"AISI 4340, normalized, 25 mm round",25 mm round,25,205000,MPa,1282,MPa,862,MPa,,,,,0.29,44.5,475,7850,ASM/MatWeb 4340 normalized 25 mm round,Representative condition-specific data,No,Room-temperature normalized 25 mm round data; not elevated tensile series.
Alloy Steel 4340,"AISI 4340, normalized, 25 mm round",25 mm round,260,,,,,,,0.0000126,1/C,21,Mean CTE over 21 C to listed temperature,,,,,ASM/MatWeb 4340 normalized 25 mm round,Representative condition-specific data,Yes,Mean CTE for normalized and tempered 1.88 percent Ni steel series.
Alloy Steel 4340,"AISI 4340, normalized, 25 mm round",25 mm round,540,,,,,,,0.0000137,1/C,21,Mean CTE over 21 C to listed temperature,,,,,ASM/MatWeb 4340 normalized 25 mm round,Representative condition-specific data,Yes,Mean CTE for normalized and tempered 1.88 percent Ni steel series.
Aluminum 7075-T6,7075-T6,unspecified wrought product,24,71700,MPa,572,MPa,503,MPa,,,,,0.33,130,960,2810,ASM/MatWeb 7075-T6,AA typical,No,Room-temperature typical values; not design allowables.
Aluminum 7075-T6,7075-T6,unspecified wrought product,100,,,,,,,0.0000236,1/C,20,Mean CTE over 20 C to listed temperature,,,,,ASM/MatWeb 7075-T6,AA typical,Yes,Mean CTE from MatWeb listed range.
Aluminum 7075-T6,7075-T6,unspecified wrought product,300,,,,,,,0.0000252,1/C,20,Mean CTE over 20 C to listed temperature,,,,,ASM/MatWeb 7075-T6,AA typical,Yes,Mean CTE from MatWeb listed range.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,21,209000,MPa,852,MPa,383,MPa,,,,,,8.9,397,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate; physical values from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,100,207000,MPa,,,,,0.0000118,1/C,25,Mean CTE over 25 C to listed temperature,,10.4,419,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,200,200000,MPa,,,,,0.0000124,1/C,25,Mean CTE over 25 C to listed temperature,,12.4,435,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,300,193000,MPa,,,,,0.0000128,1/C,25,Mean CTE over 25 C to listed temperature,,14.4,448,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,400,186000,MPa,,,,,0.0000132,1/C,25,Mean CTE over 25 C to listed temperature,,16.4,465,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,500,181000,MPa,,,,,0.0000136,1/C,25,Mean CTE over 25 C to listed temperature,,18.4,473,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,538,,,706,MPa,263,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,600,175000,MPa,,,,,0.0000141,1/C,25,Mean CTE over 25 C to listed temperature,,20.4,486,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,649,,,677,MPa,267,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,700,168000,MPa,,,,,0.0000147,1/C,25,Mean CTE over 25 C to listed temperature,,22.4,574,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,760,,,533,MPa,260,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,800,159000,MPa,,,,,0.0000152,1/C,25,Mean CTE over 25 C to listed temperature,,24.4,595,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,871,,,311,MPa,234,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,900,150000,MPa,,,,,0.0000157,1/C,25,Mean CTE over 25 C to listed temperature,,26.4,609,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,982,,,168,MPa,116,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,1000,141000,MPa,,,,,0.0000161,1/C,25,Mean CTE over 25 C to listed temperature,,28.4,617,,Haynes 230,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Haynes 230,"HAYNES 230 plate, solution annealed",plate,1093,,,91,MPa,63,MPa,,,,,,,,,Haynes 230,Representative manufacturer data,Yes,Tensile data for solution-annealed plate.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,21,,,1416,MPa,1064,MPa,,,,,,,8250,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series; density from Haynes physical properties.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,204,,,1367,MPa,974,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series; limited data in source.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,427,,,1252,MPa,978,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series; limited data in source.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,538,,,1259,MPa,964,MPa,0.0000135,1/C,21,Mean CTE over 21 C to listed temperature,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series; mean CTE from Haynes physical properties.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,649,,,1353,MPa,954,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,760,,,1040,MPa,869,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,816,,,883,MPa,774,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,871,,,679,MPa,578,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,927,,,430,MPa,352,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
Rene 41,"HAYNES R-41, age hardened 1400F/16h/air cool",unspecified,982,,,238,MPa,179,MPa,,,,,,,,,Haynes R-41,Representative manufacturer data,Yes,Age-hardened tensile series.
